"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"1",2013,8,9,NA,2100,NA,NA,2214,NA,"US",2197,NA,"LGA","DCA",NA,214,21,0,2013-08-09 21:00:00
"2",2013,4,14,1555,1600,-5,1731,1720,11,"AA",854,"N3EHAA","JFK","BOS",43,187,16,0,2013-04-14 16:00:00
"3",2013,10,29,1936,1935,1,2237,2250,-13,"AA",2437,"N3ASAA","LGA","MIA",145,1096,19,35,2013-10-29 19:00:00
"4",2013,5,2,951,945,6,1222,1240,-18,"B6",393,"N703JB","LGA","MCO",126,950,9,45,2013-05-02 09:00:00
"5",2013,7,17,1831,1822,9,2121,2155,-34,"UA",1141,"N28457","EWR","SFO",307,2565,18,22,2013-07-17 18:00:00
"6",2013,7,17,1229,1230,-1,1507,1520,-13,"WN",40,"N269WN","LGA","HOU",183,1428,12,30,2013-07-17 12:00:00
"7",2013,8,4,558,600,-2,811,815,-4,"FL",345,"N344AT","LGA","ATL",105,762,6,0,2013-08-04 06:00:00
"8",2013,4,7,1525,1529,-4,1647,1653,-6,"EV",4321,"N21537","EWR","MKE",117,725,15,29,2013-04-07 15:00:00
"9",2013,5,31,2028,2014,14,2313,2324,-11,"UA",830,"N854UA","EWR","MIA",138,1085,20,14,2013-05-31 20:00:00
"10",2013,7,14,1830,1835,-5,2113,2155,-42,"AA",269,"N3CEAA","JFK","SEA",321,2422,18,35,2013-07-14 18:00:00
"11",2013,7,15,626,630,-4,753,813,-20,"EV",4334,"N16559","EWR","CMH",70,463,6,30,2013-07-15 06:00:00
"12",2013,6,19,1527,1530,-3,1629,1650,-21,"WN",216,"N224WN","EWR","MDW",107,711,15,30,2013-06-19 15:00:00
"13",2013,6,1,837,845,-8,1021,1044,-23,"US",1429,"N755US","LGA","CLT",79,544,8,45,2013-06-01 08:00:00
"14",2013,9,3,1926,1930,-4,2308,2238,30,"DL",2370,"N342NB","LGA","PBI",160,1035,19,30,2013-09-03 19:00:00
"15",2013,10,9,1522,1535,-13,1647,1727,-40,"UA",322,"N814UA","LGA","CLE",61,419,15,35,2013-10-09 15:00:00
"16",2013,4,18,1704,1700,4,2047,2100,-13,"DL",329,"N3763D","JFK","SJU",190,1598,17,0,2013-04-18 17:00:00
"17",2013,12,21,804,805,-1,1049,1111,-22,"9E",2909,"N934XJ","JFK","TPA",149,1005,8,5,2013-12-21 08:00:00
"18",2013,5,3,849,825,24,1049,1049,0,"DL",2170,"N710TW","JFK","PHX",271,2153,8,25,2013-05-03 08:00:00
"19",2013,6,4,1714,1715,-1,2023,2012,11,"DL",503,"N3766","JFK","SAN",321,2446,17,15,2013-06-04 17:00:00
"20",2013,10,29,1504,1507,-3,1731,1738,-7,"EV",4377,"N26549","EWR","JAX",122,820,15,7,2013-10-29 15:00:00
"21",2013,4,28,1800,1804,-4,2113,2145,-32,"B6",173,"N633JB","JFK","SJC",340,2569,18,4,2013-04-28 18:00:00
"22",2013,2,19,1759,1805,-6,1935,1921,14,"B6",1016,"N526JB","JFK","BOS",42,187,18,5,2013-02-19 18:00:00
"23",2013,10,30,1047,1050,-3,1238,1250,-12,"MQ",3689,"N539MQ","LGA","DTW",82,502,10,50,2013-10-30 10:00:00
"24",2013,11,9,1847,1825,22,2026,2000,26,"WN",4128,"N714CB","EWR","MDW",123,711,18,25,2013-11-09 18:00:00
"25",2013,9,16,1513,1440,33,1806,1742,24,"DL",1902,"N331NB","LGA","PBI",147,1035,14,40,2013-09-16 14:00:00
"26",2013,10,9,1216,1219,-3,1509,1519,-10,"UA",1496,"N27722","EWR","SNA",336,2434,12,19,2013-10-09 12:00:00
"27",2013,6,17,601,545,16,829,819,10,"UA",1714,"N37255","LGA","IAH",189,1416,5,45,2013-06-17 05:00:00
"28",2013,2,10,1719,1725,-6,2025,2050,-25,"UA",512,"N554UA","JFK","SFO",335,2586,17,25,2013-02-10 17:00:00
"29",2013,3,30,1745,1736,9,2019,2029,-10,"B6",9,"N703JB","JFK","MCO",129,944,17,36,2013-03-30 17:00:00
"30",2013,10,21,1852,1855,-3,2118,2130,-12,"DL",87,"N186DN","JFK","ATL",119,760,18,55,2013-10-21 18:00:00
"31",2013,3,23,1055,900,115,1323,1126,117,"DL",485,"N308DE","EWR","ATL",123,746,9,0,2013-03-23 09:00:00
"32",2013,5,7,1446,1430,16,1631,1640,-9,"EV",4181,"N17169","EWR","MCI",137,1092,14,30,2013-05-07 14:00:00
"33",2013,8,29,1231,1224,7,1353,1336,17,"UA",628,"N808UA","EWR","BOS",47,200,12,24,2013-08-29 12:00:00
